ID,PLATFORM,BOT,BROWSER,DIST
1467,Windows,False,Chrome,
1468,Windows,False,ChromiumEdge,
1469,Mac OS,False,Safari,
1470,Windows,False,Chrome,
1471,Mac OS,False,Safari,
1472,Android,False,Chrome,Android
1473,Windows,False,ChromiumEdge,
1474,Android,False,Chrome,Android
1475,Windows,False,Chrome,
1476,Mac OS,False,Safari,
1477,Windows,False,Chrome,
1478,iOS,False,Safari,iPhone
1479,iOS,False,Safari,iPhone
1480,Windows,False,Chrome,
1481,Windows,False,Chrome,
1482,Windows,False,Chrome,
1483,Windows,False,Chrome,
1484,Windows,False,Chrome,
1485,Windows,False,ChromiumEdge,
1486,iOS,False,Safari,iPhone
1487,iOS,False,Safari,iPhone
1488,Windows,False,Chrome,
1489,iOS,False,Safari,iPhone
1490,Windows,False,Chrome,
1491,Mac OS,False,Chrome,
1492,Windows,False,Chrome,
1493,Windows,False,Chrome,
1494,Mac OS,False,Chrome,
1495,Mac OS,False,Chrome,
1496,Mac OS,False,Chrome,
1497,iOS,False,Safari,iPhone
1498,Windows,False,Chrome,
1500,iOS,False,Safari,iPhone
1501,Windows,False,ChromiumEdge,
1502,Mac OS,False,Chrome,
1503, ChromeOS,False,Chrome,
1504,Mac OS,False,Safari,
1505,Windows,False,Chrome,
1506,Windows,False,Chrome,
1507,iOS,False,Safari,iPhone
1508,Windows,False,Chrome,
1509,iOS,False,Safari,iPhone
1510,iOS,False,Safari,IPad
1511,iOS,False,Safari,iPhone
1512,iOS,False,Safari,iPhone
1513,iOS,False,ChromeiOS,iPhone
1514,iOS,False,Safari,iPhone
1515,Mac OS,False,Chrome,
1516,Mac OS,False,Chrome,
1517,Linux,False,Chrome,
1518,Mac OS,False,Safari,
1519,Windows,False,Chrome,
1520,Mac OS,False,Chrome,
1521,Windows,False,Chrome,
1522,Windows,False,Chrome,
1523,Windows,False,Chrome,
1524,Windows,False,Chrome,
1525,Windows,False,Chrome,
1526,Windows,False,Chrome,
1527,iOS,False,Safari,iPhone
1530,Mac OS,False,Safari,
1531,Windows,False,ChromiumEdge,
1532,Mac OS,False,Chrome,
1533,Android,False,Chrome,Android
1534,Windows,False,Chrome,
1535,iOS,False,Safari,iPhone
1536,iOS,False,Safari,iPhone
1537,Mac OS,False,Safari,
1540,Windows,False,Chrome,
1541,Windows,False,ChromiumEdge,
1543,Windows,False,ChromiumEdge,
1544,Windows,False,Chrome,
1545,Windows,False,Chrome,
1546,Android,False,Chrome,Android
1547,Windows,False,ChromiumEdge,
1548,Windows,False,Firefox,
1549,Windows,False,Chrome,
1550, ChromeOS,False,Chrome,
1551,iOS,False,Safari,iPhone
1552,Mac OS,False,Safari,
1553,Mac OS,False,Chrome,
1554,Mac OS,False,Safari,
1555,Mac OS,False,Safari,
1556,Windows,False,Firefox,
1557,Windows,False,Chrome,
1558,Mac OS,False,Safari,
1559,Windows,False,Chrome,
1560,iOS,False,Safari,iPhone
1561,Windows,False,ChromiumEdge,
1562,Windows,False,Chrome,
1563,Windows,False,Chrome,
1564,Mac OS,False,Safari,
1565,Windows,False,Chrome,
1566,Android,False,Chrome,Android
1567,iOS,False,Safari,iPhone
1568,Windows,False,Chrome,
1569,Mac OS,False,Safari,
1570,Windows,False,Chrome,
1571,Mac OS,False,Chrome,
1572,Windows,False,ChromiumEdge,
1573,Windows,False,Chrome,
1574,Windows,False,ChromiumEdge,
1575,Windows,False,MSEdge,
1576,iOS,False,ChromeiOS,IPad
1577,Windows,False,ChromiumEdge,
1579,Windows,False,Chrome,
1580,Android,False,Chrome,Android
1581,Mac OS,False,Safari,
1582,Windows,False,ChromiumEdge,
1583,Windows,False,ChromiumEdge,
1584,iOS,False,Safari,iPhone
1585,Android,False,Chrome,Android
1586,Windows,False,ChromiumEdge,
1587,Windows,False,Chrome,
1588,Windows,False,Chrome,
1589,Mac OS,False,Chrome,
1590,iOS,False,Safari,iPhone
1591,Mac OS,False,Chrome,
1592,Windows,False,Chrome,
1593,Windows,False,Chrome,
1594,Windows,False,Chrome,
1595,Mac OS,False,Safari,
1596,Windows,False,Chrome,
1597,Android,False,Chrome,Android
1598,Windows,False,Chrome,
1599,Android,False,Chrome,Android
1600,iOS,False,Safari,iPhone
1601,Windows,False,ChromiumEdge,
1602,Windows,False,ChromiumEdge,
1603,Mac OS,False,Chrome,
1604,Windows,False,Chrome,
1605,Android,False,Chrome,Android
1606, ChromeOS,False,Chrome,
1607,Windows,False,ChromiumEdge,
1609,Windows,False,Chrome,
1610,Windows,False,ChromiumEdge,
1611,Mac OS,False,Safari,
1612,Windows,False,Firefox,
1614,Windows,False,Firefox,
1615,Android,False,Chrome,Android
1616,Android,False,Chrome,Android
1617,Windows,False,ChromiumEdge,
1618,Android,False,Chrome,Android
1619,Mac OS,False,Chrome,
1620,iOS,False,Safari,IPad
1621,Windows,False,Chrome,
1622,Windows,False,ChromiumEdge,
1623,Windows,False,ChromiumEdge,
1624,Mac OS,False,Safari,
1625,Windows,False,Chrome,
1626,Android,False,Chrome,Android
1628,Windows,False,Chrome,
1629,Mac OS,False,Chrome,
1630,Windows,False,Chrome,
1631, ChromeOS,False,Chrome,
1632,Windows,False,Chrome,
1633,Mac OS,False,Chrome,
1634, ChromeOS,False,Chrome,
1636,iOS,False,Safari,iPhone
1637,iOS,False,ChromeiOS,iPhone
1638,Windows,False,ChromiumEdge,
1639,Mac OS,False,Safari,
1640,Windows,False,Chrome,
1641,Windows,False,Chrome,
1642,iOS,False,Safari,iPhone
1644,Windows,False,Chrome,
1645,Windows,False,Chrome,
1646,Mac OS,False,Safari,
1647,Mac OS,False,Chrome,
1648,iOS,False,Safari,iPhone
1649,Windows,False,Chrome,
1650,iOS,False,Safari,iPhone
1652,Windows,False,Firefox,
1653,iOS,False,,IPad
1654,iOS,False,Safari,iPhone
1655,Windows,False,ChromiumEdge,
1656,iOS,False,Safari,iPhone
1657,Mac OS,False,Chrome,
1658,Windows,False,ChromiumEdge,
1659,Windows,False,Firefox,
1660,Mac OS,False,Chrome,
1661,iOS,False,Safari,iPhone
1662,Windows,False,Chrome,
1663,Mac OS,False,Chrome,
1664,Mac OS,False,Safari,
1665,Android,False,Chrome,Android
1666,Windows,False,ChromiumEdge,
1667,Windows,False,Chrome,
1668,iOS,False,Safari,iPhone
1669,iOS,False,ChromeiOS,iPhone
1670,iOS,False,Safari,iPhone
1671,iOS,False,Safari,iPhone
1672,Mac OS,False,Chrome,
1673,Windows,False,Chrome,
1674,Windows,False,Chrome,
1675,iOS,False,Safari,iPhone
1676,iOS,False,,iPhone
1677,iOS,False,Safari,iPhone
1678,Windows,False,Chrome,
1679,Android,False,Chrome,Android
1680,Windows,False,Chrome,
1681,Windows,False,ChromiumEdge,
1682,Windows,False,Chrome,
1683,iOS,False,Safari,iPhone
1684,Windows,False,Chrome,
1685,iOS,False,Safari,iPhone
1686,Windows,False,Chrome,
1687,Windows,False,Chrome,
1688,iOS,False,Safari,iPhone
1689,Windows,False,Chrome,
1690,Mac OS,False,Safari,
1691,Windows,False,Chrome,
1692,Windows,False,Chrome,
1693,Windows,False,ChromiumEdge,
1694,iOS,False,Safari,iPhone
1695,Windows,False,ChromiumEdge,
1696,Mac OS,False,Chrome,
1697,Windows,False,Chrome,
1698,Android,False,Chrome,Android
1699,iOS,False,Safari,iPhone
1701,Windows,False,Chrome,
1702,Linux,False,Chrome,
1703,Android,False,Chrome,Android
